filing_date,company_name,ticker,insider_name,job_title,trade_type,price,quantity_traded,final_shares_owned,change_in_shares_owned,value_of_shares_traded
2006-02-01,PROCTER & GAMBLE CO,PG,KILTS JAMES M,Vice-COB-Gillette,P,59.35,500.0,597.5,83.68200836820083,29675.0
2006-02-01,PROCTER & GAMBLE CO,PG,KILTS JAMES M,Vice-COB-Gillette,P,59.35,500.0,1182.5,42.28329809725159,29675.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,CLARK R KERRY,Vice COB-PG Family Health,S,59.95,-16023.0,170819.96,-9.380051371045866,-960578.8500000001
2006-02-06,PROCTER & GAMBLE CO,PG,MARTIN MARIANO,Global Cust. Bus. Dev. Officer,S,60.0,-52780.0,22397.04,-235.6561402756793,-3166800.0
2006-02-06,PROCTER & GAMBLE CO,PG,CLARK R KERRY,Vice COB-PG Family Health,S,59.95,-16023.0,170819.96,-9.380051371045866,-960578.8500000001
2006-02-06,PROCTER & GAMBLE CO,PG,CLARK R KERRY,Vice COB-PG Family Health,S,59.95,-16023.0,170819.96,-9.380051371045866,-960578.8500000001
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.3,-15900.0,245984.59,-6.4638195425168705,-942870.0
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.31,-4700.0,241284.59,-1.947907240988743,-278757.0
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.3,-15900.0,245984.59,-6.4638195425168705,-942870.0
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.32,-6400.0,234884.59,-2.724742393700668,-379648.0
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.31,-4700.0,241284.59,-1.947907240988743,-278757.0
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.47,-326.0,234558.59,-0.13898446439331,-19387.22
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.47,-326.0,234558.59,-0.13898446439331,-19387.22
2006-02-08,PROCTER & GAMBLE CO,PG,CLOYD G GILBERT,Chief Technology Officer,S,59.32,-6400.0,234884.59,-2.724742393700668,-379648.0
2006-02-10,PROCTER & GAMBLE CO,PG,ARNOLD SUSAN E,Vice Chairman-PG Beauty,S,59.48,-14744.0,69031.09,-21.3584922387869,-876973.12
2006-02-15,PROCTER & GAMBLE CO,PG,SNYDERMAN RALPH,,S,59.59,-4030.0,28075.71,-14.354044830923243,-240147.7
2006-02-16,PROCTER & GAMBLE CO,PG,HARRISON R KEITH,Global Product Supply Officer,S,59.91,-12200.0,13933.65,-87.55781866201605,-730902.0
2006-02-16,PROCTER & GAMBLE CO,PG,HARRISON R KEITH,Global Product Supply Officer,S,59.87,-9632.0,29333.65,-32.83600915671933,-576667.84
2006-02-16,PROCTER & GAMBLE CO,PG,HARRISON R KEITH,Global Product Supply Officer,S,59.88,-300.0,29033.65,-1.033283793115919,-17964.0
2006-02-16,PROCTER & GAMBLE CO,PG,HARRISON R KEITH,Global Product Supply Officer,S,59.89,-2700.0,26333.65,-10.253041260896229,-161703.0
2006-02-16,PROCTER & GAMBLE CO,PG,HARRISON R KEITH,Global Product Supply Officer,S,59.9,-200.0,26133.65,-0.765296849081548,-11980.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.43,-12000.0,245745.82,-4.883094247544069,-725160.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.41,-1700.0,244045.82,-0.6965905009149511,-102697.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.35,-3500.0,197345.82,-1.7735364245363798,-211225.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.32,-5500.0,187745.82,-2.929492651287789,-331760.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.33,-3000.0,193245.82,-1.5524268519753752,-180990.0
2006-02-17,PROCTER & GAMBLE CO,PG,JOHNSON JAMES J,Chief Legal Officer,S,60.34,-1100.0,196245.82,-0.5605214928909059,-66374.0
